Channel Id,Channel Url,Channel Title
UC--Ru-Cve1fxhZ8m8xXxeUg,http://www.youtube.com/channel/UC--Ru-Cve1fxhZ8m8xXxeUg,Gaelic Neoreactionary
UC-3SbfTPJsL8fJAPKiVqBLg,http://www.youtube.com/channel/UC-3SbfTPJsL8fJAPKiVqBLg,Deep Look
UC-9b7aDP6ZN0coj9-xFnrtw,http://www.youtube.com/channel/UC-9b7aDP6ZN0coj9-xFnrtw,Astrum
UC-JWw2juO3Ikj5C9VsNoGIw,http://www.youtube.com/channel/UC-JWw2juO3Ikj5C9VsNoGIw,M. Laser History
UC-Jj_eFkIwnA5m75ral8_HQ,http://www.youtube.com/channel/UC-Jj_eFkIwnA5m75ral8_HQ,SubAnima
UC-LM91jkqJdWFvm9B5G-w7Q,http://www.youtube.com/channel/UC-LM91jkqJdWFvm9B5G-w7Q,Alan Fisher
UC-MnDZC-9I1Rhc_RjEbpBgg,http://www.youtube.com/channel/UC-MnDZC-9I1Rhc_RjEbpBgg,tu2ru
UC-NfY72l3Tn-c2qg0iHDUlQ,http://www.youtube.com/channel/UC-NfY72l3Tn-c2qg0iHDUlQ,WickedWiz
UC-deZ7ubmEzKxch1zqAwN6g,http://www.youtube.com/channel/UC-deZ7ubmEzKxch1zqAwN6g,The Master's Seminary
UC-eDKZ_PSz_JHynMf-Jp--A,http://www.youtube.com/channel/UC-eDKZ_PSz_JHynMf-Jp--A,ShaneBrained
UC-eeENoTnQK48xdmDQkAv3g,http://www.youtube.com/channel/UC-eeENoTnQK48xdmDQkAv3g,Internet Historian Deleted Content Archive
UC-lHJZR3Gqxm24_Vd_AJ5Yw,http://www.youtube.com/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie
UC-nIhxjNqjcm8EmpPWBg3wA,http://www.youtube.com/channel/UC-nIhxjNqjcm8EmpPWBg3wA,Jauwn
UC-yewGHQbNFpDrGM0diZOLA,http://www.youtube.com/channel/UC-yewGHQbNFpDrGM0diZOLA,Sargon of Akkad
UC0-gvTKzYKQcjzKcSPfeIkA,http://www.youtube.com/channel/UC0-gvTKzYKQcjzKcSPfeIkA,Kinertia
UC04bVDU3xojYhKi6ISFEfOA,http://www.youtube.com/channel/UC04bVDU3xojYhKi6ISFEfOA,Ranivus Ch
UC06HVrkOL33D5lLnCPjr6NQ,http://www.youtube.com/channel/UC06HVrkOL33D5lLnCPjr6NQ,Breaking Taps
UC09yLJNAnvqmGDqJ-z7hZ4g,http://www.youtube.com/channel/UC09yLJNAnvqmGDqJ-z7hZ4g,Bamboo Art
UC0ATu8D2ssr4P0tiQyjDIPg,http://www.youtube.com/channel/UC0ATu8D2ssr4P0tiQyjDIPg,Sunflower
UC0BS2lLese-pldAtdOUgsfg,http://www.youtube.com/channel/UC0BS2lLese-pldAtdOUgsfg,Imamu room
UC0I0LMuuIC8cXIUEZOroFuA,http://www.youtube.com/channel/UC0I0LMuuIC8cXIUEZOroFuA,Nerd on Film
UC0IXmZqJq5YH4Uz6-9SjUhQ,http://www.youtube.com/channel/UC0IXmZqJq5YH4Uz6-9SjUhQ,Finding Sky
UC0_VHk6FDhpTAK6tx3vhabw,http://www.youtube.com/channel/UC0_VHk6FDhpTAK6tx3vhabw,UnaryPlus
UC0aanx5rpr7D1M7KCFYzrLQ,http://www.youtube.com/channel/UC0aanx5rpr7D1M7KCFYzrLQ,Shoe0nHead
UC0bj3SDSm7BKFvqqaXhNcFQ,http://www.youtube.com/channel/UC0bj3SDSm7BKFvqqaXhNcFQ,4 AM Fiction
UC0e3QhIYukixgh5VVpKHH9Q,http://www.youtube.com/channel/UC0e3QhIYukixgh5VVpKHH9Q,Code Bullet
UC0hHBEVg-EYuuf4BCZFaKhA,http://www.youtube.com/channel/UC0hHBEVg-EYuuf4BCZFaKhA,FindCrisis
UC0uTPqBCFIpZxlz_Lv1tk_g,http://www.youtube.com/channel/UC0uTPqBCFIpZxlz_Lv1tk_g,Protesilaos Stavrou
UC0vBXGSyV14uvJ4hECDOl0Q,http://www.youtube.com/channel/UC0vBXGSyV14uvJ4hECDOl0Q,Techquickie
UC0y9_728zj1_q7jeU_KZ4LA,http://www.youtube.com/channel/UC0y9_728zj1_q7jeU_KZ4LA,kishimisu
UC14FeUtkcZJWLZXkQy-bKwA,http://www.youtube.com/channel/UC14FeUtkcZJWLZXkQy-bKwA,SnaggyLowe
UC1CQtd-T1Ec-Qq-Jn92UvIw,http://www.youtube.com/channel/UC1CQtd-T1Ec-Qq-Jn92UvIw,Fortnite Sensei
UC1DTYW241WD64ah5BFWn4JA,http://www.youtube.com/channel/UC1DTYW241WD64ah5BFWn4JA,Sam O'Nella Academy
UC1FQyAL8cvaK0bR0RfM_fjA,http://www.youtube.com/channel/UC1FQyAL8cvaK0bR0RfM_fjA,MetaMaths
UC1LpsuAUaKoMzzJSEt5WImw,http://www.youtube.com/channel/UC1LpsuAUaKoMzzJSEt5WImw,Asianometry
UC1anDR4D0WTc3_Pp31ckizw,http://www.youtube.com/channel/UC1anDR4D0WTc3_Pp31ckizw,Malta Mathematical Society
UC1bwliGvJogr7cWK0nT2Eag,http://www.youtube.com/channel/UC1bwliGvJogr7cWK0nT2Eag,MKIceAndFire
UC1kBxkk2bcG78YBX7LMl9pQ,http://www.youtube.com/channel/UC1kBxkk2bcG78YBX7LMl9pQ,code_report
UC1rFmaGLYr0Ve_Y_soxZNWQ,http://www.youtube.com/channel/UC1rFmaGLYr0Ve_Y_soxZNWQ,Quinn's Ideas
UC1tozVUXyve6pkAv6gtcrQQ,http://www.youtube.com/channel/UC1tozVUXyve6pkAv6gtcrQQ,nubDotDev
UC1usFRN4LCMcfIV7UjHNuQg,http://www.youtube.com/channel/UC1usFRN4LCMcfIV7UjHNuQg,Introduction to Cryptography by Christof Paar
UC1vVNQN-TCy8d3Mb_Owr2Kw,http://www.youtube.com/channel/UC1vVNQN-TCy8d3Mb_Owr2Kw,Masaman
UC1zqGGAbxPjlOWKbfQQgqng,http://www.youtube.com/channel/UC1zqGGAbxPjlOWKbfQQgqng,Pieter-Jan
UC20iyvAXUZPraEqCAk0zDbw,http://www.youtube.com/channel/UC20iyvAXUZPraEqCAk0zDbw,Pete Judo
UC28n0tlcNSa1iPe5mettocg,http://www.youtube.com/channel/UC28n0tlcNSa1iPe5mettocg,voidzilla
UC2CmFx99gzfInrT8Jowm01w,http://www.youtube.com/channel/UC2CmFx99gzfInrT8Jowm01w,2ManySnacks
UC2D2CMWXMOVWx7giW1n3LIg,http://www.youtube.com/channel/UC2D2CMWXMOVWx7giW1n3LIg,Andrew Huberman
UC2G2xJqFUem8rxIRPjggKJg,http://www.youtube.com/channel/UC2G2xJqFUem8rxIRPjggKJg,Apastron
UC2SkFysGa2TopHPwXzBBLKw,http://www.youtube.com/channel/UC2SkFysGa2TopHPwXzBBLKw,Wolfram Demonstrations Project
UC2bkHVIDjXS7sgrgjFtzOXQ,http://www.youtube.com/channel/UC2bkHVIDjXS7sgrgjFtzOXQ,engineerguy
UC2e2EM3TEB8J6ctwTFSjYjA,http://www.youtube.com/channel/UC2e2EM3TEB8J6ctwTFSjYjA,KaiserBauch
UC2oWuUSd3t3t5O3Vxp4lgAA,http://www.youtube.com/channel/UC2oWuUSd3t3t5O3Vxp4lgAA,Jerma Stream Archive
UC2w1CQqPli4w94-PCg2UvJQ,http://www.youtube.com/channel/UC2w1CQqPli4w94-PCg2UvJQ,The Alternative Hypothesis
UC32EI4CFRAoM8mmecuoe9Cw,http://www.youtube.com/channel/UC32EI4CFRAoM8mmecuoe9Cw,Macabre Storytelling
UC337i8LcUSM4UMbLf820I8Q,http://www.youtube.com/channel/UC337i8LcUSM4UMbLf820I8Q,Just Some Guy
UC3CBOpT2-NRvoc2ecFMDCsA,http://www.youtube.com/channel/UC3CBOpT2-NRvoc2ecFMDCsA,Crime Pays But Botany Doesn't
UC3Hc3eyqALYSX0WKfqbO13Q,http://www.youtube.com/channel/UC3Hc3eyqALYSX0WKfqbO13Q,Vlaspatta Karamazov
UC3KV2kFy2YhjYvverIy2WnA,http://www.youtube.com/channel/UC3KV2kFy2YhjYvverIy2WnA,Dialect
UC3Pa5XABNoAeEkHWxiZ3xPg,http://www.youtube.com/channel/UC3Pa5XABNoAeEkHWxiZ3xPg,Nasu
UC3SM8yOKKwU8PYqwsNP5rGA,http://www.youtube.com/channel/UC3SM8yOKKwU8PYqwsNP5rGA,IzAwSmash
UC3SyoB0UuS2rsLWcU37eQ2w,http://www.youtube.com/channel/UC3SyoB0UuS2rsLWcU37eQ2w,Greg Owen
UC3cpN6gcJQqcCM6mxRUo_dA,http://www.youtube.com/channel/UC3cpN6gcJQqcCM6mxRUo_dA,Wendigoon
UC3lpMpbfQmv2o4RmLbIS9xA,http://www.youtube.com/channel/UC3lpMpbfQmv2o4RmLbIS9xA,MENTLE
UC3ltptWa0xfrDweghW94Acg,http://www.youtube.com/channel/UC3ltptWa0xfrDweghW94Acg,Karl Jobst
UC3nPaf5MeeDTHA2JN7clidg,http://www.youtube.com/channel/UC3nPaf5MeeDTHA2JN7clidg,Bellular News
UC3o2eSpoecewhemY1f2ZI-A,http://www.youtube.com/channel/UC3o2eSpoecewhemY1f2ZI-A,Neil McCoy-Ward
UC477Kvszl9JivqOxN1dFgPQ,http://www.youtube.com/channel/UC477Kvszl9JivqOxN1dFgPQ,Iron Pineapple
UC49EYw900LZn5VBglLRzxHw,http://www.youtube.com/channel/UC49EYw900LZn5VBglLRzxHw,Pockit
UC4BZtFgtCuHUt0p8J-XENiA,http://www.youtube.com/channel/UC4BZtFgtCuHUt0p8J-XENiA,E;R
UC4CDW9wUE670Qus8FHZhK3g,http://www.youtube.com/channel/UC4CDW9wUE670Qus8FHZhK3g,Tarek Said
UC4EFgGdLCsUKXO4LzMfypMA,http://www.youtube.com/channel/UC4EFgGdLCsUKXO4LzMfypMA,Power Pak
UC4Emb8dzcIBEMQG2UfDoD8w,http://www.youtube.com/channel/UC4Emb8dzcIBEMQG2UfDoD8w,Youngmoo Kim
UC4NNPgQ9sOkBjw6GlkgCylg,http://www.youtube.com/channel/UC4NNPgQ9sOkBjw6GlkgCylg,Ben Vallack
UC4QZ_LsYcvcq7qOsOhpAX4A,http://www.youtube.com/channel/UC4QZ_LsYcvcq7qOsOhpAX4A,ColdFusion
UC4fQ-Cy8UpLPMwehPg-8ltQ,http://www.youtube.com/channel/UC4fQ-Cy8UpLPMwehPg-8ltQ,andrew gold | heretics.
UC4u2drnbKx8vkN7Wp0LhFYQ,http://www.youtube.com/channel/UC4u2drnbKx8vkN7Wp0LhFYQ,Loving Jill 2005
UC4zzTEL5tuIgGMvzjk1Ozbg,http://www.youtube.com/channel/UC4zzTEL5tuIgGMvzjk1Ozbg,Henry Segerman
UC548OYFGjdJuprVWeqg60fw,http://www.youtube.com/channel/UC548OYFGjdJuprVWeqg60fw,Lemmaxiom
UC54w2TX_xUNPQ0d-3VvbsHQ,http://www.youtube.com/channel/UC54w2TX_xUNPQ0d-3VvbsHQ,Futurology
UC554eY5jNUfDq3yDOJYirOQ,http://www.youtube.com/channel/UC554eY5jNUfDq3yDOJYirOQ,Destiny
UC57gLBfdhN1zWMLmiW2Ya6Q,http://www.youtube.com/channel/UC57gLBfdhN1zWMLmiW2Ya6Q,Think That Through
UC5Jz6SBlu2Sv61kfssv4DOw,http://www.youtube.com/channel/UC5Jz6SBlu2Sv61kfssv4DOw,The FACTs of Mechanical Design
UC5N5pRddyicAX1QJyJjIIdg,http://www.youtube.com/channel/UC5N5pRddyicAX1QJyJjIIdg,Prof Ghrist Math
UC5T0tXJN5CrMZUEJuz4oovw,http://www.youtube.com/channel/UC5T0tXJN5CrMZUEJuz4oovw,Nerdrotic
UC5UYMeKfZbFYnLHzoTJB1xA,http://www.youtube.com/channel/UC5UYMeKfZbFYnLHzoTJB1xA,Schaffrillas Productions
UC5bN6XKHDCFt_wYAJmsP_Mg,http://www.youtube.com/channel/UC5bN6XKHDCFt_wYAJmsP_Mg,Jasper
